ASSOC       Operations

left        terms leftward_function_name
left        ->
nonassoc    ++ --
right       **
right       ! ~ \ unary+ unary-
left        =~ !~
left        * / % x
left        + - .
left        << >>
nonassoc    -X
nonassoc    < > <= >= lt gt le ge
nonassoc    == != <=> eq ne cmp ~~
left        &
left        | ^
left        &&
left        || //
nonassoc    ..  ...
right       ?:
right       = += -= *= etc. goto last next redo dump
left        , =>
nonassoc    rightward_function_name
right       not
left        and
left        or xor
